userid,password,nombre,ciclo_actual,cursos_aprobados
user0,pass0,Juan Perez,1,"C0090,C0613,C0659,C0737,C0201,C0101"
user2,pass2,Ana Garcia,2,"C0090,C0613,C0659,C0737,C0201,C0101,C0202,C0203,C0204,C0205,C0206,C0207"
user3,pass3,Pedro Martinez,3,"C0090,C0613,C0659,C0737,C0201,C0101,C0202,C0203,C0204,C0205,C0206,C0207,C0301,C0302,C0303,C0304,C0305,C0306"
user4,pass4,Maria Lopez,4,"C0090,C0613,C0659,C0737,C0201,C0101,C0202,C0203,C0204,C0205,C0206,C0207,C0301,C0302,C0303,C0304,C0305,C0306,C0401,C0402,C0403,C0404,C0405,C0406"
user5,pass5,Jose Ramirez,5,"C0090,C0613,C0659,C0737,C0201,C0101,C0202,C0203,C0204,C0205,C0206,C0207,C0301,C0302,C0303,C0304,C0305,C0306,C0401,C0402,C0403,C0404,C0405,C0406,C0501,C0502,C0503,C0504,C0505,C0506"
user6,pass6,Lucia Fernandez,6,"C0090,C0613,C0659,C0737,C0201,C0101,C0202,C0203,C0204,C0205,C0206,C0207,C0301,C0302,C0303,C0304,C0305,C0306,C0401,C0402,C0403,C0404,C0405,C0406,C0501,C0502,C0503,C0504,C0505,C0506,C0601,C0602,C0603,C0604,C0605,C0606"
user7,pass7,Carlos Torres,7,"C0090,C0613,C0659,C0737,C0201,C0101,C0202,C0203,C0204,C0205,C0206,C0207,C0301,C0302,C0303,C0304,C0305,C0306,C0401,C0402,C0403,C0404,C0405,C0406,C0501,C0502,C0503,C0504,C0505,C0506,C0601,C0602,C0603,C0604,C0605,C0606,C0701,C0702,C0703,C0704,C0705,C0706"
user8,pass8,Elena Rivas,8,"C0090,C0613,C0659,C0737,C0201,C0101,C0202,C0203,C0204,C0205,C0206,C0207,C0301,C0302,C0303,C0304,C0305,C0306,C0401,C0402,C0403,C0404,C0405,C0406,C0501,C0502,C0503,C0504,C0505,C0506,C0601,C0602,C0603,C0604,C0605,C0606,C0701,C0702,C0703,C0704,C0705,C0706,C0801,C0802,C0803,C0804,C0805,C0806"
user9,pass9,Daniela Soto,9,"C0090,C0613,C0659,C0737,C0201,C0101,C0202,C0203,C0204,C0205,C0206,C0207,C0301,C0302,C0303,C0304,C0305,C0306,C0401,C0402,C0403,C0404,C0405,C0406,C0501,C0502,C0503,C0504,C0505,C0506,C0601,C0602,C0603,C0604,C0605,C0606,C0701,C0702,C0703,C0704,C0705,C0706,C0801,C0802,C0803,C0804,C0805,C0806,C0901,C0902,C0903,C0904,C0905,C0906"
user10,pass10,Patricia Vega,10,"C0090,C0613,C0659,C0737,C0201,C0101,C0202,C0203,C0204,C0205,C0206,C0207,C0301,C0302,C0303,C0304,C0305,C0306,C0401,C0402,C0403,C0404,C0405,C0406,C0501,C0502,C0503,C0504,C0505,C0506,C0601,C0602,C0603,C0604,C0605,C0606,C0701,C0702,C0703,C0704,C0705,C0706,C0801,C0802,C0803,C0804,C0805,C0806,C0901,C0902,C0903,C0904,C0905,C0906,C1001,C1002,C1003,C1004,C1005,C1006"
